Last Updated,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
N/A,Assassin's Creed: Altair's Chronicles,DS,2008,Action,Ubisoft  ,Gameloft  ,5.7,,0.03,0.01,,0,0.05
N/A,Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft  ,Griptonite Studio  ,6.3,,0.43,0.5,0.05,0.28,1.26
N/A,Assassin's Creed: Bloodlines,PSN,2009,Action,Ubisoft  ,Griptonite Games  ,6.3,,,,,,
N/A,Assassin's Creed: Brotherhood,PC,2011,Action,Ubisoft  ,Ubisoft Montreal  ,8.7,,0.16,0.34,,0.09,0.59
N/A,Assassin's Creed: Brotherhood,PSN,2011,Action,Ubisoft  ,Ubisoft Montreal  ,8.9,,,,,,
N/A,Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft  ,Ubisoft Montreal  ,9.1,,2.87,0.39,0.03,0.25,3.53
N/A,Assassin's Creed: Brotherhood,PS3,2010,Action,Ubisoft  ,Ubisoft Montreal  ,9.1,,1.87,0.57,0.11,0.3,2.85
2020-10-21,Assassin's Creed: Brotherhood,All,2010,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
N/A,Assassin's Creed: Brotherhood - The Da Vinci Disappearance,PSN,2011,Action,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
N/A,Assassin's Creed: Brotherhood - The Da Vinci Disappearance,XBL,2011,Action,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
N/A,Assassin's Creed: Lost Legacy,3DS,N/A,Action,Unknown  ,Ubisoft  ,,,,,,,
N/A,Assassin's Creed: Pirates,And,2013,Misc,Ubisoft  ,Unknown  ,,,,,,,
N/A,Assassin's Creed: Revelations,PC,2011,Action,Ubisoft  ,Ubisoft Montreal  ,,,0.16,0.49,,0.11,0.76
N/A,Assassin's Creed: Revelations,X360,2011,Action,Ubisoft  ,Ubisoft Montreal  ,7.9,,2.28,1.47,0.04,0.44,4.22
N/A,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft  ,Ubisoft Montreal  ,8.8,,1.41,2.03,0.1,0.69,4.23
2020-10-21,Assassin's Creed: Revelations,All,2011,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
N/A,Assassin's Creed: Revelations - Ancestors Character Pack,XBL,2011,Action,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
N/A,Assassin's Creed: Revelations - Ancestors Character Pack,PSN,2011,Action,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
2018-07-04,Assassin's Creed: Rogue,PC,2015,Action,Ubisoft  ,Ubisoft Sofia  ,,,0.07,0.02,,0.01,0.1
2018-01-14,Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft  ,Ubisoft Sofia  ,,,0.46,0.57,0.07,0.2,1.3
2018-01-14,Assassin's Creed: Rogue,X360,2014,Action,Ubisoft  ,Ubisoft Sofia  ,,,0.59,0.34,,0.09,1.02
2021-11-05,Assassin's Creed: The Rebel Collection,NS,2019,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,
2018-05-04,Assassin's Creed: Unity,PS4,2014,Action,Ubisoft  ,Ubisoft Montreal  ,,,1.25,2.16,0.09,0.65,4.14
2018-05-04,Assassin's Creed: Unity,PC,2014,Action,Ubisoft  ,Ubisoft Montreal  ,,,0.2,0.31,,0.04,0.56
2018-05-04,Assassin's Creed: Unity,XOne,2014,Action,Ubisoft  ,Ubisoft Montreal  ,,,2.34,0.9,0,0.34,3.58
